职位名称,公司名,地点,薪资
Python开发/深度学习,上海凯融信息科技有限公司,上海-普陀区,0.7-1.5万/月
Python高级爬虫开发工程师,深圳市蜂窝数据信息技术有限公司,深圳-宝安区,1-1.5万/月
Python开发工程师/前端/爬虫,深圳市宇达计算机有限公司,深圳-南山区,4.5-6千/月
Python高级开发工程师,成都捷云智慧科技有限公司,成都,0.7-1.5万/月
Python开发工程师,广州点服网络科技有限公司,广州-天河区,0.6-1万/月
Python开发工程师,湖南雨人网络安全技术股份有限公司...,长沙-岳麓区,0.8-1.2万/月
python开发工程师,宁波渠成集团有限公司,宁波,12-20万/年
python爬虫工程师,深圳筑龙信息技术有限责任公司,深圳-福田区,0.8-1.5万/月
Python开发工程师,北京硬盒科技有限公司,上海-杨浦区,1.5-2万/月
Python开发工程师（中级）,天津鑫裕建设发展股份有限公司,天津-河西区,0.6-1.2万/月
python工程师,深圳市比一比网络科技有限公司,深圳-南山区,1.5-2万/月
python后端开发,广州家愉网络科技有限公司,广州-番禺区,5-7千/月
Python开发工程师,上海世沃信息科技有限公司,上海-徐汇区,1-2万/月
中高级Python开发工程师,南京赛宁信息技术有限公司,异地招聘,1.5-2万/月
Python开发工程师,上海进馨网络科技有限公司（纳米盒...,上海-浦东新区,1.5-3万/月
odoo(python)开发工程师,韶关市土大妈农业开发有限公司,韶关,5-8千/月
Python开发工程师,北京电旗通讯技术股份有限公司,长沙-雨花区,4-7千/月
Python开发工程师,广州前实网络科技有限公司,广州,0.8-1.2万/月
Python开发工程师,深圳中迈信息技术有限公司,深圳-宝安区,1-1.5万/月
Python开发工程师,深圳星际超脑智能系统有限公司,深圳-福田区,1-1.5万/月
Python开发工程师,深圳市木浪云数据有限公司,深圳,1.2-1.8万/月
高级Python软件工程师,苏州锐讯生物科技有限公司,苏州-工业园区,1-2万/月
Python开发工程师,浙江国自机器人技术有限公司,杭州-富阳区,1-1.8万/月
Python软件开发工程师,深信服科技股份有限公司,深圳-南山区,1.3-2.6万/月
Python架构师(SG0304),长沙蜜獾信息科技有限公司,长沙-岳麓区,1.5-2万/月
Python研发工程师,安徽瑞佰创物联科技有限公司,合肥,0.8-1.5万/月
Python开发工程师,广州市凝智科技有限公司,广州,0.8-1.2万/月
Python研发工程师,北京利和制药有限公司,北京,2-4万/月
python开发,上海雍米计算机科技有限公司,深圳-南山区,2-3万/月
Python开发工程师,浙江力太工业互联网有限公司,杭州-滨江区,1-1.5万/月
Python开发工程师,广州艾美网络科技有限公司,广州-番禺区,1.1-1.7万/月
Python工程师,北京先进数通信息技术股份公司,北京-丰台区,0.6-1万/月
Python开发工程师,上海才扬软件科技有限公司,上海,1-1.5万/月
